"","sample","SAMPLE","SEX","MALE.STAGE","FEMALE.STAGE","CONFIRM.","POPULATION","TREATMENT","TANK","WEEK","filename","scalebar","imagesize","image_size","bgr_pixel_m","bgr_pixel_f","hsv_pixel_m","hsv_pixel_f","lab_pixel_m","lab_pixel_f","ycrcb_pixel_m","ycrcb_pixel_f","bgr_perc_f_total","bgr_perc_m_total","bgr_perc_f_gonad","bgr_perc_m_gonad","bgr_perc_gonad_total","hsv_perc_f_total","hsv_perc_m_total","hsv_perc_f_gonad","hsv_perc_m_gonad","hsv_perc_gonad_total","lab_perc_f_total","lab_perc_m_total","lab_perc_f_gonad","lab_perc_m_gonad","lab_perc_gonad_total","ycrcb_perc_f_total","ycrcb_perc_m_total","ycrcb_perc_f_gonad","ycrcb_perc_m_gonad","ycrcb_perc_gonad_total","magnification"
"1","001",1,"F",NA,1,"X","PS","PRE",NA,0,"20180924-angasi001-10x-scale.tif","yes","1920 x 2560",4915200,571787.5,14400.5,404373.5,9594,1121486,0,706363,8791.5,0.292978922526042,11.633046468099,2.45663507270705,97.543364927293,11.926025390625,0.1951904296875,8.22699991861979,2.31757323944513,97.6824267605549,8.42219034830729,0,22.8166910807292,0,100,22.8166910807292,0.178863525390625,14.3709920247396,1.2293147844277,98.7706852155723,14.5498555501302,"10x"
"2","001",1,"F",NA,1,"X","PS","PRE",NA,0,"20180924-angasi001-10x-tiled-scale.tif","yes","3652 x 4861",17752372,123099,890501,44239.5,1993960.5,203053.5,3169436,60361,1268702.5,5.01623670346701,0.69342282822825,87.8552683504341,12.1447316495659,5.70965953169526,11.2320792962202,0.249203317731287,97.8294818957904,2.1705181042096,11.4812826139515,17.8535916214464,1.14381052853106,93.9791213582726,6.02087864172742,18.9974021499775,7.1466646823309,0.34001653412851,95.4583810329604,4.54161896703957,7.48668121645941,"10x"
"3","001",1,"F",NA,1,"X","PS","PRE",NA,0,"20180924-angasi001-10x-tiled.tif","yes","3652 x 4861",17752372,123099,890501,44239.5,1993960.5,203053.5,3169436,60361,1268702.5,5.01623670346701,0.69342282822825,87.8552683504341,12.1447316495659,5.70965953169526,11.2320792962202,0.249203317731287,97.8294818957904,2.1705181042096,11.4812826139515,17.8535916214464,1.14381052853106,93.9791213582726,6.02087864172742,18.9974021499775,7.1466646823309,0.34001653412851,95.4583810329604,4.54161896703957,7.48668121645941,"10x"
"4","001",1,"F",NA,1,"X","PS","PRE",NA,0,"20180924-angasi001-10x-tiled2.tif","yes","3651 x 4874",17794974,956699,149337.5,219992,614297.5,1467960,839281,766422,434580.5,0.839211678533501,5.37623151345992,13.5020408458491,86.4979591541509,6.21544319199342,3.45208427952747,1.23625918194654,73.6312155432856,26.3687844567144,4.68834346147401,4.7163935165064,8.24929555952147,36.3759572580411,63.6240427419589,12.9656890760279,2.44215304838321,4.30695768366956,36.1848122714149,63.8151877285851,6.74911073205277,"10x"
"5","001",1,"F",NA,1,"X","PS","PRE",NA,0,"20180924-angasi001-10x-tiled2scale.tif","yes","3651 x 4874",17794974,955773.5,148321.5,219820.5,612393,1466387,837268.5,766092.5,433311.5,0.833502201239518,5.37103060673199,13.4337624932637,86.5662375067363,6.20453280797151,3.44138181938338,1.23529542667497,73.5860449271731,26.4139550728269,4.67667724605835,4.70508414342162,8.24045598493148,36.3452130754794,63.6547869245206,12.9455401283531,2.43502182133,4.305106037244,36.1272348599805,63.8727651400195,6.740127858574,"10x"
"6","001",1,"F",NA,1,"X","PS","PRE",NA,0,"20180924-angasi001-10x.tif","no","1920 x 2560",4915200,571787.5,14400.5,404373.5,9594,1121486,0,706363,8791.5,0.292978922526042,11.633046468099,2.45663507270705,97.543364927293,11.926025390625,0.1951904296875,8.22699991861979,2.31757323944513,97.6824267605549,8.42219034830729,0,22.8166910807292,0,100,22.8166910807292,0.178863525390625,14.3709920247396,1.2293147844277,98.7706852155723,14.5498555501302,"10x"
"7","002",2,"I","0",0,"","MERIM","PRE",NA,0,"20180924-angasi002-10x-tiled-scale.tif","yes","3654 x 4866",17780364,348753.5,334627,674203.5,671,978253,0,263310.5,0,1.8820030906004,1.96145309511099,48.9664250004207,51.0335749995793,3.84345618571138,0.00377382600266226,3.79184306912952,0.0994258932586725,99.9005741067413,3.79561689513218,0,5.50187274006314,0,100,5.50187274006314,0,1.48090612768108,0,100,1.48090612768108,"10x"
"8","002",2,"I","0",0,"","MERIM","PRE",NA,0,"20180924-angasi002-10x-tiled.tif","yes","3654 x 4866",17780364,370696,702703.5,123476.5,6385.5,989221,0,284493.5,0,3.95213225106078,2.0848617047435,65.465234518928,34.534765481072,6.03699395580428,0.0359132130253351,0.694454286762633,4.9171428131401,95.0828571868599,0.730367499787968,0,5.56355876628847,0,100,5.56355876628847,0,1.60004317121967,0,100,1.60004317121967,"10x"
"9","002",2,"I","0",0,"","MERIM","PRE",NA,0,"20180924-angasi002-10x-tiled2.tif","yes","3649 x 4860",17734140,362537.5,554554.5,86497.5,78851,758105.5,1260.5,273537.5,0,3.1270447848049,2.04429140629317,60.4687970236356,39.5312029763644,5.17133619109807,0.444628270668891,0.487745670215753,47.687762513721,52.312237486279,0.932373940884644,0.00710775938387765,4.27483655818664,0.165993736880503,99.8340062631195,4.28194431757052,0,1.54243453587262,0,100,1.54243453587262,"10x"
"10","002",2,"I","0",0,"","MERIM","PRE",NA,0,"20180924-angasi002-10x-tiled3-scale.tif","yes","3647 x 4865",17742655,49045.5,446340.5,66037.5,328581,71624.5,1164851,42940,921985.5,2.51563534318849,0.276427062353408,90.0995385416625,9.90046145833754,2.7920624055419,1.85192689594652,0.372196269385839,83.2654829918009,16.7345170081991,2.22412316533236,6.56525756714539,0.403685355996608,94.2073660173615,5.79263398263856,6.968942923142,5.19643480640299,0.242015639711193,95.549915511612,4.45008448838796,5.43845044611418,"10x"
